KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius
11658776,127.9993378,544.8655155,6.5,246.2725216,4.590629215,11658776,0,NONE,13.872,5883,4.292,1.125
9705496,140.3097323,804.8649774,8.5,183.8768602,4.564002471,9705496,0,NONE,14.263,5003,4.534,0.827
7204360,123.4783154,436.1180937,6.5,183.7935429,4.544408893,7204360,0,NONE,14.465,6137,4.46,1.018
2445665,118.7863875,218.8021582,8.5,141.5912922,4.452471441,2445665,0,NONE,12.792,5396,4.607,0.717
10578148,77.56714586,105.1887425,13,130.1853828,4.300988137,10578148,0,NONE,13.219,6131,4.37,1.114
10360825,127.0598634,1286.98335,5,255.6158547,4.271687981,10360825,0,NONE,13.707,5780,4.438,1
9329967,61.84019305,74.65378497,5.5,135.5497659,4.238672428,9329967,0,NONE,13.351,6174,4.337,1.144
11125992,108.2913835,112.1993986,8.5,151.570478,4.182408746,11125992,0,NONE,13.277,5762,4.026,1.627
4546746,70.5292152,248.5903549,8.5,153.1482792,4.182284164,4546746,0,NONE,14.422,5339,4.599,0.758
11908749,92.75708311,585.7706632,5.5,166.5017442,4.074019704,11908749,0,NONE,13.66,5632,4.616,0.721
6422390,92.7933001,150.5008252,6,166.310487,3.983262108,6422390,0,NONE,12.299,5960,4.1,1.459
5938255,91.01582834,476.896365,10,189.4504927,3.969686874,5938255,0,NONE,14.374,6025,4.42,1.019
11666881,127.0662245,495.9295042,5.5,128.5490336,3.964388809,11666881,1,CONFIRMED,13.273,6224,4.279,1.328
11017397,135.6310883,184.78627,8.5,223.4455169,3.962576662,11017397,0,NONE,13.485,6067,4.322,1.12
8751783,80.30182183,1487.600561,13,201.1581209,3.929474076,8751783,0,NONE,13.375,5933,4.157,1.337
5809890,59.64580608,214.8454708,5.5,141.0433507,3.711703005,5809890,1,CONFIRMED,13.999,5095,4.529,0.771
11290469,82.17408542,87.54529484,11,229.9941616,3.662312489,11290469,0,NONE,13.859,5277,4.515,0.779
10657406,91.95041058,492.6699394,5,171.3456111,3.593723852,10657406,1,CONFIRMED,13.733,5346,4.403,0.952
8742834,91.9399806,242.3011103,6.5,183.8563046,3.536977135,8742834,0,NONE,13.809,5981,4.326,1.054
8360415,88.72722891,1201.03567,9,183.9498935,3.489277195,8360415,0,NONE,14.027,5134,4.56,0.721
10189884,82.17765261,198.2099129,5.5,147.6688775,3.481227278,10189884,0,NONE,14.233,6033,4.398,1.026
10911073,84.78641217,98.38450907,8.5,142.4810967,3.479344362,10911073,0,NONE,13.976,6297,4.448,1.031
11803247,61.63051193,444.0791035,6.5,168.2935881,3.460041352,11803247,0,NONE,14.084,5925,4.476,0.865
8972058,127.0662245,347.790573,9,128.6010386,3.392480218,8972058,1,CONFIRMED,13.431,5977,4.375,1.075
3847642,71.83418026,174.8061747,7,188.5126248,3.388666269,3847642,0,NONE,13.532,5681,4.496,0.851
10266195,140.3027082,659.2164956,8.5,183.897724,3.387212403,10266195,0,NONE,14.39,5794,4.578,0.785
10385248,82.22427577,258.9034852,8.5,210.7314266,3.373139996,10385248,0,NONE,13.957,5130,4.645,0.619
2715251,106.4891993,561.7392356,5.5,158.731338,3.363404383,2715251,0,NONE,13.979,6151,4.26,1.215
6664842,131.7999419,545.4336441,8,208.3255494,3.308285609,6664842,1,CANDIDATE,14.43,6045,4.469,1.005
9957525,77.77471553,1357.920123,8.5,165.7724093,3.225120619,9957525,0,NONE,14.148,5771,4.562,0.825
8360304,140.2947506,1019.526443,10,184.0182855,3.224649117,8360304,0,NONE,13.228,5543,4.568,0.813
10057494,94.64905133,147.3739938,11,137.9977577,3.216490415,10057494,1,CONFIRMED,12.278,6245,4.301,1.24
10058491,124.4760001,111.1081052,8,227.4768927,3.210688243,10058491,0,NONE,13.136,6103,4.496,0.949
9222857,82.99269275,502.5019482,5,183.8245987,3.203662826,9222857,0,NONE,13.775,5183,4.584,0.788
8826303,93.53899473,206.9132871,9,183.8897664,3.18230712,8826303,0,NONE,13.869,6295,4.401,1.08
